Survey,clean_text,Label
Sangat baik dalam menjelaskan materi dan juga menyampikan tugas tugas,sangat baik jelas materi juga menyampikan tugas tugas,positif
walaupun yang mengajar selalu asisten tetapi materi yang disampaikan sangat baik.,walaupun ajar selalu asisten materi sampai sangat baik,positif
"Walaupun, Pelajaran ini merupakan kelas besar sebaiknya bisa diadakan offline dan online secara bergantian.",walaupun ajar rupa kelas besar baik ada offline online ganti,negatif
"sebaiknya tidak usah menyuruh maju satu persatu untuk mengerjakan soal cukup menyuruh anak yang mampu saja,karena ketika maju saat dipanggil saat tidak bisa memang diajarin caranya tapi terkesan memarahi.Saya kira saya sedang berada di sekolah bukan Pelajaran.",baik tidak usah suruh maju satu satu kerja soal cukup suruh anak mampu karena maju panggil tidak memang diajarin cara kes parah kira sedang ada sekolah bukan ajar,negatif
semoga lebih baik kedepannya,moga lebih baik depan,positif
Pelajaran dilaksanakan secara offline,ajar laksana offline,negatif
Bismillah lancar,bismillah lancar,positif
"mungkin untuk guru pengampu pada mapel mtk semester ini untuk cara mengajarnya lebih disemangatkan lagi, dan sekiranya tidak ada halangan bisa on cam agar Siswa tidak boring padamapel tersebut",mungkin guru ampu mapel mtk semester untuk cara ajar lebih semangat dan sekira tidak halang on cam siswa tidak boring padamapel sebut,negatif
Saran untuk pembelajaran Pelajaran elektronika telekomunikasi adalah semoga semakin lebih baik lagi dalam menyampaikan materi,saran ajar ajar elektronika telekomunikasi moga makin lebih baik dalam sampai materi,positif
Gurunya asik,guru asik,positif
"Saran bu, mungkin kedepannya jika menjelaskan materi bisa improf dan dijelaskan menggunakan kalimat ibu saja, karena jika berpacu dengan ppt saja kami sebagai Siswa merasa suntuk dan jadinya tidak memperhatikan ibu saat memaparkan materinya. Dan mohon maaf bu, mungkin dalam absen bisa lebih teliti lagi bu. Terima kasih",saran bu mungkin depan jelas materi improf jelas guna kalimat ibu karena pacu ppt kami siswa rasa suntuk jadi tidak perhati ibu papar materi mohon maaf bu mungkin absen lebih teliti bu terima kasih,negatif
Terimakasih atas materi yang disampaikan,terimakasih atas materi sampai,positif
Ditingkatkan,tingkat,positif
guru Pelajaran cukup baik dalam melakukan bimbingan belajar Pelajaran Internet Of Things (IoT),guru ajar cukup baik laku bimbing ajar ajar internet of things iot,positif
Mohon untuk mengeshare materi pembelajaran ke elearing,mohon mengeshare materi ajar elearing,negatif
"Peningkatan toleransi kepada siswa, namun cukup bagus juga penerapannya",tingkat toleransi siswa cukup bagus terap,positif
saran saya untuk pemberian referensi materi agak kurang karena hanya 2 referensi dimana untuk mendapatkannya agak sulit,saran untuk beri referensi materi kurang hanya referensi untuk dapat sulit,negatif
Bu selama mengajar dan menyampaikan materi sudahn sangat baik. Walaupun statistika itu sulit tapi alhamdulillah mudah menyerap di otak,bu lama ajar sampai materi sudahn sangat baik walaupun statistika sulit alhamdulillah mudah serap otak,positif
terus baik,terus baik,positif
Sudah bagus dan untuk kedepannya bisa lebih baik lagi,bagus untuk depan lebih baik,positif
mungkin bisa di beri tugas agar kta bsa mempelajarinya dari padad tiap pertemuan kaya ceramah,mungkin di beri tugas kta bsa ajar padad tiap temu kaya ceramah,negatif
"Guru terlalu banyak rangkap jabatan, jadi jarang sekali masuk waktu kelas, nah kalau gak masuk kelas siswanya di suruh belajar materi sendiri. walaupun penyampaian materinya terbaik",guru terlalu banyak rangkap jabat jadi jarang sekali masuk waktu kelas nah kalau gak masuk kelas siswa suruh ajar materi sendiri walaupun sampai materi baik,negatif
Semoga kedepannya lebih bagus,moga depan lebih bagus,positif
"mohon definisikan arti fleksibel yang sering disebutkan oleh bapak itu apa, karena saya tidak melihat ke fleksibelan tersebut",mohon definisi arti fleksibel sering sebut bapak apa saya tidak lihat fleksibel sebut,negatif
Saran: Tetap berperilaku yang adil di semua Siswa,saran tetap perilaku adil semua siswa,negatif
ditambah lagi tugas untuk Siswa agar mampu memahami,tambah tugas siswa mampu paham,negatif
"sudah sangat baik dalam mengajar, terimakasih pak",sangat baik ajar terimakasih pak,positif
Sudah sangat baik dalam menyampaikan materi pembelajaran,sangat baik sampai materi ajar,positif
Tidak Ada.,tidak,positif
Semoga bisa lebih menyenangkan,moga lebih senang,positif
terima kasih pak,terima kasih pak,positif
Semoga bu ngajar kita terus,moga bu ngajar terus,positif
Luar biasa,luar biasa,positif
sudah cukup dan terimaksih atas ilmunya.,cukup terimaksih atas ilmu,positif
mungkin perlu di sync dengan asisten pratikum,mungkin perlu sync asisten pratikum,negatif
sudah sangat bagus dalam mengajar tetapi agak terlalu cepat dalam penyampaian materinya,sangat bagus ajar agak terlalu cepat sampai materi,negatif
